ID,text,level
3,"بروتوكول OSPF:

طبيعته: بروتوكول مفتوح المصدر (Open Standard) وليس حكراً لشركة، ويعتمد خوارزمية حالة الوصلة (Link-state).

الهرمية (Hierarchy): يقسم الشبكة لمناطق (Areas). أهمها Area 0 (العمود الفقري) التي يجب أن تتصل بها كل المناطق الأخرى لضمان عدم حدوث حلقات.

هوية الموجه (Router ID): هو ""اسم"" الموجه في شبكة OSPF، ويتم اختياره بالأولوية التالية:

يتم تحديده يدوياً بالأمر router-id (الأقوى).

أعلى عنوان IP لمنفذ وهمي (Loopback).

أعلى عنوان IP لمنفذ فيزيائي فعال.",2
4,"كيف يبني OSPF علاقاته مع الجيران؟ (Neighbor States) تخيل أن الراوتر شخص يحاول التعرف على جيرانه. يمر هذا التعارف بمراحل:


حالة الخمول (Down): الراوتر صامت تماماً، لا يرسل ولا يستقبل أي ""تحية"" (Hello).


المبادرة (Init): الراوتر بدأ بالعمل وأرسل ""تحية""، لكنه لم يسمع رداً بعد.

الاتجاهين (2-way): هنا حدث التعارف! الراوتر رأى اسمه في رسالة ""التحية"" التي أرسلها جاره، مما يعني ""أنا أراك وأنت تراني"".


الامتلاء (Full): أصبحت العلاقة تامة، وتم تبادل كافة معلومات الشبكة بنجاح.",1
4,"أنواع الموجهات (Router Roles): من هو الرئيس؟ في الشبكات الكبيرة، نحتاج لمنظمين:


DR (الموجه المخصص): هو ""الرئيس"" المسؤول عن نشر التحديثات لبقية الموجهات لتقليل الزحام.


BDR (الموجه الاحتياطي): هو ""نائب الرئيس""، يجلس مستعداً لأخذ مكان الرئيس فوراً إذا تعطل.


ABR (موجه حدود المنطقة): موجه ""الجمارك"" الذي يربط بين منطقة الصفر (Backbone) والمناطق الأخرى.


ASBR (موجه حدود النظام): موجه ""بوابة خارجية"" يجلب مسارات من بروتوكولات أخرى (مثل الإنترنت) إلى داخل شبكة OSPF.",2
4,"أنواع المناطق (Area Types): قوانين المرور ليست كل المناطق متشابهة، فبعضها له قوانين خاصة للمسارات القادمة من الخارج:


Stub Area: منطقة ""منعزلة"" ترفض دخول المسارات الخارجية (LSA 5)، وتكتفي بمسار افتراضي للخروج.


NSSA: تشبه المنطقة المنعزلة، لكنها تسمح بوجود موجه ASBR بداخلها، فتسمح بمرور المسارات الخارجية بشكل خاص (LSA 7) ثم يتم تحويلها لاحقاً.",3
4,"أنواع المسارات وتكلفتها (Route Metrics) عندما تأتي مسارات من خارج الشبكة (External)، كيف نحسب تكلفتها؟

E2: تكلفة ""ثابتة"". لا يهم كم تبعد أنت عن الموجه الذي أدخل المسار، التكلفة هي نفسها.

E1: تكلفة ""واقعية"". تحسب التكلفة الخارجية + تكلفة الطريق للوصول إلى الموجه الذي أدخل المسار.

5. رسائل المعلومات (LSAs): لغة التخاطب تتبادل الموجهات ""إعلانات"" تسمى LSA بأنواع مختلفة، أهمها:


Type 1 (Router): كل موجه يقول ""أنا هنا وهذه وصلاتي"".


Type 2 (Network): يصدرها الـ DR ليصف الشبكة المتصلة به.


Type 3/4 (Summary): يصدرها الـ ABR لتلخيص معلومات منطقة وإرسالها لأخرى.


Type 5 (External): يصدرها الـ ASBR للإعلان عن طرق خارجية (مثل الإنترنت).",4
5,"الإعدادات العملية (Configuration):


توزيع البروتوكولات (Redistribution): تشير المذكرات إلى عملية ""حقن"" مسارات بروتوكول RIP داخل بروتوكول OSPF. هذا يسمح للشبكات التي تعمل ببروتوكولات مختلفة بالتواصل.


عنونة الواجهات: تم إعداد واجهات الموجه بعناوين IP مختلفة (Loopback, Serial, FastEthernet) لتمثيل شبكة حقيقية.",1
5,"بروتوكول IS-IS (Intermediate System to Intermediate System):


التعريف: هو بروتوكول توجيه (Routing Protocol) يعتمد خوارزمية ""حالة الوصلة"" (Link State)، مما يجعله شبيهاً جداً ببروتوكول OSPF.


الاستخدام: يُستخدم في شبكات LAN و MAN و WAN ويعتمد مفهوم ""المناطق"" (Areas) لتقسيم الشبكة وتسهيل إدارتها.


المصطلحات (ISO Terminology): بما أن البروتوكول يتبع معايير ISO وليس TCP/IP في الأصل، تختلف التسميات:


IS (Intermediate System): هو الموجه (Router).


ES (End System): هو الجهاز النهائي (Host)",2
5,"عنونة NSAP:


لماذا نحتاجها؟ لأن IS-IS صُمم لمعايير ISO، فهو لا يفهم عناوين IP بشكل مباشر لتعريف الموجه نفسه، بل يحتاج لعنوان خاص يسمى NSAP لتعريف الموجه، ثم يقوم بحمل رزم IP داخله.



البنية: عنوان NSAP أطول وأعقد من IP ويتراوح طوله بين 8 و 20 بايت. يتكون من ثلاثة أجزاء رئيسية:



Area ID: لتعريف المنطقة.


System ID: هوية فريدة للموجه داخل المنطقة (طولها ثابت وغالباً 6 بايت)، ويتم اشتقاقها غالباً من عنوان IP أو MAC.


NSEL (N-Selector): بايت واحد، وقيمته تكون 00 عندما يمثل الجهاز موجهاً (Router).",3
5,"تحويل IP إلى System ID:

يتم ذلك عبر حشو كل جزء من عنوان IP بالأصفار ليصبح 3 خانات. مثال: 192.168.1.1 يصبح 192.168.001.001",4
6,"مستويات التوجيه (Routing Levels): يعتمد IS-IS على هيكلية هرمية لتقسيم الشبكة إلى مناطق (Areas) لتسهيل الإدارة وتقليل الضغط:

المستوى 1 (Level-1):

يعمل داخل المنطقة الواحدة فقط.

الموجهات (Routers) في هذا المستوى ""عمياء"" عن الخارج؛ فهي لا ترى سوى ما بداخل منطقتها.

المستوى 2 (Level-2):

يمثل العمود الفقري (Backbone) للشبكة.

وظيفته نقل البيانات والتوجيه بين المناطق المختلفة.

المستوى المختلط (Level 1-2):

هذا الموجه يعمل كـ ""وسيط"" أو جسر.

يمتلك قاعدتي بيانات: واحدة للمستوى 1 (للمنطقة) وأخرى للمستوى 2 (للربط بين المناطق).

يقابل وظيفة Border Router في البروتوكولات الأخرى.",1
6,"المقارنة مع OSPF في قواعد البيانات:

في بروتوكول OSPF: الموجه داخل المنطقة يمتلك قاعدة بيانات واحدة.

في بروتوكول IS-IS: الموجه من نوع (Level 1-2) يمتلك قاعدتي بيانات منفصلتين (واحدة لكل مستوى).",2
6,"أنواع المقاييس (Metrics): يستخدم البروتوكول قيماً رقمية لتحديد أفضل مسار، وهناك نوعان:

المقياس الضيق (Narrow Metric):

النوع القديم، يستخدم 6 بت (Bits) فقط.

قيمه محدودة جداً (من 0 إلى 63).

كان مناسباً للسرعات القديمة ولم يعد كافياً للشبكات الحديثة.

المقياس الواسع (Wide Metric):

النوع الحديث، يستخدم 24 بت (Bits) أو أكثر.

يدعم قيماً كبيرة جداً ودقيقة.

مناسب للإنترنت الحديث والسرعات العالية.",3
6,"حزم حالة الوصلة (LSPs): هي الرسائل التي يتبادلها البروتوكول لنشر المعلومات، وتحتوي على:

حالة الوصلات (Link State).

المسارات والبادئات (Prefixes).

معلومات عن الموجهات المجاورة.",4
