ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation_Feedback
H14,نظام يعمل بتردد 7.4GHz. ما هو فقد المسار التقريبي لمسافة 50km؟ (استخدم 92.4+...);120 dB,144 dB,130 dB,160 dB,Option_B,"الإجابة الصحيحة هي (144 dB تقريباً). الحل: 92.4 + 20log(7.4) + 20log(50) = 92.4 + 17.4 + 34 = 143.8 ≈ 144 dB."
H15,إذا كانت زاوية السقوط 15 درجة; ومعاملات الانكسار 1 و 1.5. تم حساب زاوية الانكسار 9.78 درجة. ماذا لو زاد معامل انكسار الزجاج لـ 2.0؟,تزداد الزاوية لأكثر من 9.78,تقل الزاوية لأقل من 9.78,تبقى ثابتة,تصبح سالبة,Option_B,"الإجابة الصحيحة هي (تقل الزاوية).
التفسير: كلما زاد الفرق في الكثافة الضوئية (n أكبر)، زاد ""كسر"" الشعاع مقترباً من العمود، فتقل الزاوية."
H16,احسب الطاقة الكلية لشعاع ليزر قدرته 1mW يعمل لمدة ساعة كاملة.,1 Joule,3.6 Joule,0.001 Joule,60 Joule,Option_B,"الإجابة الصحيحة هي (3.6 Joule).
الحل: الطاقة = القدرة (واط) * الزمن (ثانية).
E = 0.001 * 3600 = 3.6 J.
خطأ شائع: نسيان تحويل الساعة إلى ثواني."
H17,في ميزانية الوصلة; إذا تم تغيير المنطقة من جبلية (A=0.25) إلى مائية (A=4). كم يزداد هامش الخفوت المطلوب Fm؟,6 dB,12 dB,3 dB,20 dB,Option_B,"الإجابة الصحيحة هي (12 dB).
الحل: الفرق في اللوغاريتم: 10log(4/0.25) = 10log(16) ≈ 12 dB.
تفسير: الانعكاسات فوق الماء تتطلب احتياطياً أكبر بكثير."
H18,ما تأثير استخدام كابل ضوئي ذو فقد نوعي أقل (مثلاً 0.2dB/km بدلاً من 0.5dB/km) على مسافة 100 كم؟,توفير 30 dB في الميزانية;توفير 3 dB,زيادة عرض النطاق,تقليل سرعة الضوء,Option_A,"الإجابة الصحيحة هي (توفير 30 dB في الميزانية). الحل: الفقد القديم: 0.5*100=50. الجديد: 0.2*100=20. الفرق 30dB. تفسير: تحسين الكابل له تأثير هائل على المسافات الطويلة."
H19,إذا كانت الحساسية Cmin ثابتة; وزاد الضجيج N بمقدار 3dB (تضاعف). ماذا يجب أن نفعل للحفاظ على جودة الاتصال C/N؟,زيادة استطاعة الإرسال 3dB,تقليل استطاعة الإرسال 3dB,زيادة المسافة,تغيير التردد,Option_A,"الإجابة الصحيحة هي (زيادة استطاعة الإرسال 3dB).
التفسير: للحفاظ على النسبة C/N ثابتة، أي زيادة في المقام (الضجيج) يجب أن يقابلها زيادة مساوية في البسط (الإشارة)."
H20,في معادلة V-number; إذا تضاعف نصف القطر a وتضاعف طول الموجة λ في آن واحد، ماذا يحدث لـ V؟,يتضاعف,يقل للنصف,يبقى ثابتاً,يزداد 4 مرات,Option_C,"الإجابة الصحيحة هي (يبقى ثابتاً).
التفسير: V تعتمد على النسبة a/λ. إذا ضربنا البسط والمقام بنفس الرقم، النسبة لا تتغير."
H21,ما هو الشرط الذي يجعل فقد التباين الطراحي (Lb) أقل ما يمكن؟,وجود عوائق في المنطقة,اختيار منطقة مستوية تماماً,رفع الهوائيات عالياً جداً,ضبط الهوائيات بدقة عالية,Option_D,"الإجابة الصحيحة هي (ضبط الهوائيات بدقة عالية).
التفسير: Lb ينتج عن عدم التطابق المثالي في توجيه الهوائيات أو فقد في الموصلات البينية."
H22,احسب عدد الفوتونات إذا كانت الطاقة الكلية 1 جول وتردد الضوء يجعل طاقة الفوتون 2x10^-19 جول.,0.5 x 10^19,5 x 10^18,2 x 10^19,10^20,Option_B,"الإجابة الصحيحة هي (5 x 10^18).
الحل: العدد = الطاقة الكلية / طاقة الفوتون = 1 / 2x10^-19 = 0.5 x 10^19 = 5 x 10^18."
H23,عند الترددات العالية جداً (مثل 40GHz); ما هو العامل الإضافي الذي قد يؤثر بشدة على ميزانية الوصلة ولم يذكر في المعادلات الأساسية؟,امتصاص الأكسجين والمطر,حرارة الشمس,دوران الأرض,المجال المغناطيسي,Option_A,"الإجابة الصحيحة هي (امتصاص الأكسجين والمطر).
التفسير: عند الترددات العالية، تصبح أطوال الموجات مقاربة لقطرات المطر وجزيئات الغاز، مما يسبب فقداً إضافياً هائلاً."
H24,نظام يعمل بـ C/N=24dB. إذا أردنا تحسين الجودة لتصبح C/N=30dB دون تغيير الاستطاعة; كم يجب أن نخفض الضجيج؟,3 dB,6 dB,10 dB,20 dB,Option_B,"الإجابة الصحيحة هي (6 dB).
الحل: الفرق بين 30 و 24 هو 6dB. تحسين النسبة يتطلب إما رفع الإشارة أو خفض الضجيج بنفس المقدار."
H25,أي من التالي يصف العلاقة بين عرض النطاق B واستطاعة الضجيج N؟,كلما زاد B قل N,كلما زاد B زاد N,لا علاقة بينهما,N يتناسب مع جذر B,Option_B,"الإجابة الصحيحة هي (كلما زاد B زاد N).
التفسير: N = kTB. الضجيج ""أبيض"" وموزع على الترددات، فكلما فتحنا ""نافذة"" ترددية أكبر (Bandwidth)، دخل ضجيج أكثر."
H26,في الليف المتدرج; إذا كانت g=10، فإن شكل توزيع معامل الانكسار يكون:,قريباً جداً من الدرجي (مستطيل),قريباً من المثلث,قريباً من القطع المكافئ,خطياً تماماً,Option_A,"الإجابة الصحيحة هي (قريباً جداً من الدرجي).
التفسير: كلما زادت g عن 2، تفلطح المنحني وأصبح سطحه مستوياً مع هبوط حاد عند الحواف، مشبهاً الـ Step Index."
H27,لحساب Gs بدقة; المعادلة تحتوي على (-At - Ar). لماذا الإشارة سالبة؟,لأنها خسارة,لأنها تقلل من متطلبات كسب النظام,لأنها تزيد الضجيج,خطأ في المعادلة,Option_B,"الإجابة الصحيحة هي (لأنها تقلل من متطلبات كسب النظام).
التفسير: Gs هو ""الكسب المطلوب من الأجهزة الإلكترونية"". الهوائيات توفر كسباً ""مجكعاً"" (passive)، لذا تطرح قيمتها من العبء المطلوب من المضخمات."
H28,إذا كان لدينا ليف بصري NA=0.5 (قيمة عالية جداً). ماذا يعني هذا بالنسبة للضوء؟,يجمع الضوء من زوايا واسعة جداً,لا يستقبل ضوءاً إلا عمودياً,الليف رديء الجودة,الليف مصنوع من الهواء,Option_A,"الإجابة الصحيحة هي (يجمع الضوء من زوايا واسعة جداً).
التفسير: NA العالية تعني مخروط قبول (Acceptance Cone) واسع، مما يسهل إدخال الضوء لكنه قد يزيد التشتت."
H29,ما هي درجة الحرارة المكافئة للضجيج Te لمضخم رقم ضجيجه F=2 (خطي)؟ (فرضاً T0=290K).,290 K,580 K,0 K,145 K,Option_A,"الإجابة الصحيحة هي (290 K).
الحل: Te = (F - 1) * T0 = (2 - 1) * 290 = 290 K.
تفسير: المضخم يضيف ضجيجاً يكافئ درجة حرارة الغرفة."
H30,في حسابات Fm، لماذا يتم طرح 10log(1-R) وليس جمعه؟,لأن القيمة سالبة أصلاً,لأن الوثوقية تقلل الخفوت,لأن (1-R) كسر عشري وللغاريتمه سالب، والسالب مع السالب موجب,لأن المعادلة تجريبية فقط,Option_C,"الإجابة الصحيحة هي (لأن لوغاريتم الكسر سالب، والسالب في القانون يجعله موجباً).
التفسير: نحن نريد إضافة هامش أمان (زيادة Fm) كلما زادت الوثوقية المطلوبة. لوغاريتم الاحتمال (الخطأ) سالب، فضربه بسالب يعطي قيمة موجبة تضاف للهامش."
