ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation_Feedback
H21,"فقد التباين الطراحي (Lb) يحصل غالباً بسبب:","المطر","امتصاص الغازات","عدم المحاذاة الدقيقة للهوائيات أو خسائر الموصلات","حرارة الشمس",Option_C,"الإجابة الصحيحة هي (عدم المحاذاة الدقيقة للهوائيات). هو فقد إضافي لتغطية عيوب التركيب."
H22,"احسب عدد الفوتونات إذا كانت الطاقة الكلية 1 جول وطاقة الفوتون الواحد 2x10^-19 جول.","5x10^18","2x10^19","0.5x10^19","10^20",Option_A,"الإجابة الصحيحة هي (5x10^18). الحل: 1 / 2x10^-19 = 0.5x10^19."
H23,"عند الترددات العالية جداً (mmWave)، يصبح الفقد الجوي (Atmospheric Loss) عاملاً حاسماً بسبب:","انعكاس طبقة الأيونوسفير","امتصاص جزيئات الأكسجين وبخار الماء","الجاذبية الأرضية","سرعة الرياح",Option_B,"الإجابة الصحيحة هي (امتصاص جزيئات الأكسجين وبخار الماء). يحدث تجاوب يمتص الطاقة."
H24,"لتحسين نسبة الإشارة للضجيج (C/N) من 24dB إلى 30dB، كم يجب خفض الضجيج (N) إذا بقيت الإشارة ثابتة؟","3 dB","6 dB","10 dB","20 dB",Option_B,"الإجابة الصحيحة هي (6 dB). الفرق المطلوب هو 6dB."
H25,"لماذا يزداد الضجيج الحراري N بزيادة عرض النطاق B؟","لأن المقاومة تزيد","لأن الضجيج الأبيض موجود في كل الترددات","لأن الحرارة تزيد","لأن الإشارة تضعف",Option_B,"الإجابة الصحيحة هي (لأن الضجيج الأبيض موجود في كل الترددات). زيادة النافذة B تدخل ضجيجاً أكثر."
H26,"شكل توزيع معامل الانكسار في ليف GRIN عندما تكون g=10 يشبه:","القطع المكافئ","المثلث","المستطيل (Step Index)","الأسي",Option_C,"الإجابة الصحيحة هي (المستطيل Step Index). القيم العالية لـ g تجعل المنحني مسطحاً كالمستطيل."
H27,"لماذا تكون إشارة كسب الهوائيات (At, Ar) سالبة في معادلة Gs؟","لأنها تسبب خسارة","لأنها تقلل من الكسب المطلوب توفيره من الإلكترونيات","لأنها تزيد التشويش","لأنها تستهلك طاقة",Option_B,"الإجابة الصحيحة هي (لأنها تقلل من الكسب المطلوب من الإلكترونيات). الهوائي يوفر كسباً مجانياً."
H28,"ليف بصري له NA=0.6 (كبير). ما هي سلبيته الرئيسية رغم سهولة تجميع الضوء؟","صعوبة التصنيع","زيادة تشتت الأنماط (Dispersion) وبالتالي تقليل معدل البيانات","انكسار الليف بسهولة","عدم تحمل الحرارة",Option_B,"الإجابة الصحيحة هي (زيادة تشتت الأنماط). الزوايا الواسعة تزيد فرق المسارات الزمنية."
H29,"مضخم ضجيجه الخطي F=2. كم درجة الحرارة المكافئة لضجيجه (Te) بفرض T0=290K؟","290 K","580 K","145 K","0 K",Option_A,"الإجابة الصحيحة هي (290 K). الحل: Te = (2-1)*290 = 290."
H30,"لماذا نضرب لوغاريتم (1-R) بإشارة سالبة في معادلة Fm؟","لأن القيمة موجبة","لأن اللوغاريتم أصلاً سالب، والسالب يجعله موجباً ليضاف للهامش","لتقليل الهامش","لأن الوثوقية نسبة مئوية",Option_B,"الإجابة الصحيحة هي (لأن اللوغاريتم أصلاً سالب). ضربه بسالب يعطي قيمة موجبة تزيد هامش الأمان."
