ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation_Feedback
M11,سقط شعاع من الهواء (n=1) بزاوية 15 درجة على زجاج (n=1.5). احسب جيب زاوية الانكسار (sin θt).,0.17,0.25,0.33,0.50,Option_A,"الإجابة الصحيحة هي (0.17).
الحل: حسب سنيل: 1*sin(15) = 1.5*sin(θt) => sin(θt) = 0.258 / 1.5 = 0.17."
M12,إذا كان C/N = 24 dB واستطاعة الضجيج N = -104 dBm. كم تبلغ استطاعة الإشارة C؟,-80 dBm,-128 dBm,-60 dBm,24 dBm,Option_A,"الإجابة الصحيحة هي (-80 dBm).
الحل: C = (C/N) + N (بالديسبل) = 24 + (-104) = -80 dBm.
تفسير: الإشارة يجب أن تكون أعلى من الضجيج، لذا نطرح القيمتين جبرياً (أو نجمع السالب)."
M13,في حساب هامش الخفوت، القيمة B=0.125 ترمز لمناخ:,رطب وساخن,معتدل داخلي,جاف جداً أو جبلي,فوق المسطحات المائية,Option_C,"الإجابة الصحيحة هي (جاف جداً أو جبلي).
التفسير: القيم الصغيرة لـ B تشير لمناخات جافة تقلل من احتمالية الخفوت العميق."
M14,نظام اتصالات ميكروي، المسافة 20 كم والتردد 3.4 جيجاهرتز. احسب قيمة (20logD + 20logF).,36.6 dB,45.2 dB,23.4 dB,40 dB,Option_A,"الإجابة الصحيحة هي (36.6 dB).
الحل: 20log(20) = 26. 20log(3.4) ≈ 10.6. المجموع 36.6.
هذا جزء من معادلة فقد المسار."
M15,ما هي ميزة الليف المتدرج (GRIN) مقارنة بالليف الدرجي (Step Index)؟,أسهل في التصنيع,أرخص ثمناً,يقلل من تشتت الأنماط (Dispersion) ويزيد النطاق,يتحمل طاقة أعلى,Option_C,"الإجابة الصحيحة هي (يقلل تشتت الأنماط).
التفسير: بسبب انحناء الضوء، تصل الأشعة في أوقات متقاربة مما يسمح بنقل بيانات بمعدل أعلى (نطاق أعرض)."
M16,إذا كانت درجة الحرارة 290 درجة مئوية. كم تساوي بالكلفن؟,290 K,563 K,17 K,0 K,Option_B,"الإجابة الصحيحة هي (563 K).
الحل: الكلفن = الدرجة المئوية + 273 = 290 + 273 = 563."
M17,عند ربط مضخمين على التسلسل، ما هو العامل المؤثر الأكبر على رقم الضجيج الكلي؟,ضجيج المضخم الثاني,ضجيج المضخم الأول,كسب المضخم الثاني,طول الكابل بينهما,Option_B,"الإجابة الصحيحة هي (ضجيج المضخم الأول).
التفسير: حسب معادلة فريس، ضجيج المراحل اللاحقة يُقسّم على كسب المراحل السابقة، لذا المرحلة الأولى هي الحاسمة."
M18,احسب استطاعة الخرج إذا كان الدخل 5mW والخسارة الكلية -10dB.,0.5 mW,50 mW,1 mW,2.5 mW,Option_A,"الإجابة الصحيحة هي (0.5 mW).
الحل: -10dB تعني القسمة على 10. إذن 5 / 10 = 0.5 mW."
M19,أي من القيم التالية تمثل فرق قرينة انكسار نسبي (Δ) منطقي لليف بصري؟,0.01,0.9,1.5,5,Option_A,"الإجابة الصحيحة هي (0.01).
التفسير: Δ عادة تكون نسبة مئوية صغيرة جداً (1% أو أقل). القيم الكبيرة تعني اختلافاً ضخماً غير واقعي في الزجاج."
M20,إذا زاد طول الموجة المستخدم في ليف بصري ثابت الأبعاد، ماذا يحدث للتردد المعياري V؟,يزداد,ينقص,يبقى ثابتاً,يصبح صفراً,Option_B,"الإجابة الصحيحة هي (ينقص).
التفسير: V تتناسب مع (1/λ). زيادة المقام (طول الموجة) تؤدي لنقصان القيمة V."
M21,لحساب عدد الفوتونات في الثانية، نقسم القدرة الكلية على:,الزمن,التردد,طاقة الفوتون الواحد,سرعة الضوء,Option_C,"الإجابة الصحيحة هي (طاقة الفوتون الواحد).
التفسير: القدرة هي طاقة كلية في الثانية، بتقسيمها على طاقة ""الحزمة"" الواحدة (الفوتون) نحصل على العدد."
M22,في أنظمة الميكرويف، الثابت A=4 يمثل تضاريس:,جبلية وعرة,متوسطة,ناعمة جداً أو فوق الماء,غابات كثيفة,Option_C,"الإجابة الصحيحة هي (ناعمة جداً أو فوق الماء).
التفسير: الأسطح الناعمة تسبب انعكاسات قوية تؤثر على الخفوت، لذا تأخذ قيمة A عالية (4)."
M23,ما العلاقة بين معدل النقل (Bit Rate) وعرض النبضة (Pulse Width)؟,علاقة طردية,علاقة عكسية,لا يوجد علاقة,علاقة أسية,Option_B,"الإجابة الصحيحة هي (علاقة عكسية).
التفسير: كلما كانت النبضة أضيق (زمن أقل)، استطعنا إرسال نبضات أكثر في الثانية، فزاد المعدل."
M24,إذا كان كسب الهوائي 30dB، والمرسل والمستقبل متماثلان. ما قيمة (At + Ar) في معادلة الميزانية؟,30 dB,0 dB,60 dB,90 dB,Option_C,"الإجابة الصحيحة هي (60 dB).
الحل: نجمع كسب الهوائيين: 30 + 30 = 60 dB. هذه القيمة تطرح لاحقاً من الفواقد."
M25,عند g = ما لا نهاية في ليف GRIN، يتحول شكل الدليل إلى:,قطع مكافئ,مثلثي,درجي (Step Index),دائري,Option_C,"الإجابة الصحيحة هي (درجي Step Index).
التفسير: المعامل g يتحكم في انحناء التدرج. القيمة اللانهائية تجعل التغير حاداً جداً كأنه درجة (مستطيل)."
M26,لحساب الوثوقية 99.99%، ما قيمة الحد -10log(1-R)؟,20 dB,30 dB,40 dB,50 dB,Option_C,"الإجابة الصحيحة هي (40 dB).
الحل: 1 - 0.9999 = 0.0001 (10^-4). log(10^-4) = -4. ضرب -10 يعطي 40."
M27,ماذا يحصل لزاوية الانكسار إذا زاد معامل انكسار الوسط الثاني n2 كثيراً مقارنة بـ n1؟,تزداد الزاوية,تقترب من العمود المقام (تصغر),تصبح 90 درجة,يحدث انعكاس كلي,Option_B,"الإجابة الصحيحة هي (تقترب من العمود المقام - تصغر).
التفسير: الوسط الأكثف (n أكبر) يبطئ الضوء ويجذبه نحو العمود."
M28,إذا كان رقم الضجيج NF=2 (قيمة خطية). كم يساوي بالديسبل؟,2 dB,3 dB,6 dB,10 dB,Option_B,"الإجابة الصحيحة هي (3 dB).
الحل: 10 log(2) ≈ 3 dB."
M29,ما هي القيمة التقريبية لجذر 2 (المستخدم في مقارنات أقطار الألياف)؟,1.2,1.41,1.73,2.0,Option_B,"الإجابة الصحيحة هي (1.41).
التفسير: نحتاج هذه القيمة عند المقارنة بين قطر ليف GRIN وليف SI."
M30,في معادلة Lp، التردد F يضرب بـ 20 داخل اللوغاريتم، هذا يعني أن العلاقة مع المسافة والتردد:,أسية,تربيعية (بالمقياس الخطي),خطية,ثابتة,Option_B,"الإجابة الصحيحة هي (تربيعية بالمقياس الخطي).
التفسير: 20log(x) تكافئ 10log(x^2). أي أن الفقد يتناسب مع مربع المسافة ومربع التردد (قانون التربيع العكسي)."
